State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
New Hampshire,NH H 39,1,Negative,1,1,1,,,12/22/10,Adequate Education Standards,Failed,,1,http://openstates.org/nh/bills/2011/HB39/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH H 164,1,Negative,5,1,1,,2011,1/11/11,Common Core State Standards,Laid on Table,,1,http://openstates.org/nh/bills/2011/HB164/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH S 172,1,Negative,3,0.33333,-0.33334,,2011,1/19/11,Performance Based School Accountability Criteria,Pending - Carryover,3/9/11,2,http://openstates.org/nh/bills/2011/SB172/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD H 1153,1,Negative,25,0.96,0.92,,2011,1/25/11,Department of Education,Failed - Adjourned,2/9/11,2,http://openstates.org/sd/bills/2011/HB1153/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK H 1714,1,Negative,1,1,1,,2011,2/7/11,Schools,Pending - Carryover,,1,http://openstates.org/ok/bills/2011-2012/HB1714/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,OR H 3117,1,Negative,9,1,1,,2011,2/7/11,Education,Failed - Adjourned,,1,http://openstates.org/or/bills/2011%20Regular%20Session/HB3117/,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WA H 1891,1,Negative,6,1,1,,2011,2/8/11,Implementation of the Common Core Standards,Failed,,1,http://openstates.org/wa/bills/2011-2012/HB1891/,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC S 604,1,Negative,6,1,1,,2011,2/23/11,Education,Pending,,1,http://openstates.org/sc/bills/119/S604/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN H 934,1,Negative,1,1,1,,2011,3/7/11,Education Finance,Vetoed,4/4/11,2,http://openstates.org/mn/bills/2011-2012/HF934/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN S 622 (MN H 1318),1,Negative,1,1,1,,2011,3/7/11,Education,Pending - Carryover,,1,http://openstates.org/mn/bills/2011-2012/SF622/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
